Vial,Timestamp,x_pos,y_pos
3,0,57.0208618,53.18416114
3,0,96.0337545,52.19618845
3,0,3.0165455,40.18596381
3,0,20.8502061,36.18302729
3,0,13.0301155,22.21517026
3,0,94.0450325,21.12435771
3,0,1.1096906,20.25450675
3,0,5.9657644,15.10231168
3,0,72.9599195,17.12828354
3,0,20.9698003,15.08614901
3,0,58.9044377,12.36270662
3,0,38.833915,8.065156917
3,0,66.9054762,1.205580651
3,0,37.8118681,0.022906658
3,0.04,96.1684081,57.25085505
3,0.04,55.9202248,57.18178202
3,0.04,20.7573132,36.1861073
3,0.04,12.8347143,26.19367589
3,0.04,93.865735,24.13162832
3,0.04,1.8647725,23.21583655
3,0.04,5.7539853,18.24858243
3,0.04,69.9998508,16.26191515
3,0.04,21.9548091,11.95014141
3,0.04,50.9498981,11.8587303
3,0.04,35.0568618,8.277985022
3,0.04,66.9063906,2.760503586
3,0.04,32.8812039,2.150649183
3,0.08,14.8731596,76.05644961
3,0.08,56.1310886,62.19559528
3,0.08,95.9810693,63.20450621
3,0.08,9.9071958,33.19946293
3,0.08,93.8135744,25.17618618
3,0.08,2.0384646,24.22001941
3,0.08,67.0099888,16.12156468
3,0.08,16.9381426,9.163083155
3,0.08,31.9020657,8.987594808
3,0.08,70.0062883,5.092130635
3,0.08,62.9867608,3.199489842
3,0.08,27.0739286,2.134747318
3,0.08,32.8958897,1.135781152
3,0.12,139.9275492,359.3312906
3,0.12,3.8898837,89.18933278
3,0.12,96.0670756,69.20414709
3,0.12,56.7642612,64.17753058
3,0.12,10.01422,38.19942302
3,0.12,3.8970258,27.22236441
3,0.12,62.9467669,15.08525484
3,0.12,14.8934562,8.167110424
3,0.12,27.0564649,6.249365962
3,0.12,73.8820553,6.182241378
3,0.16,135.9219478,359.2275742
3,0.16,2.8780953,90.10257858
3,0.16,95.9710476,74.19100922
3,0.16,56.0767934,65.18853714
3,0.16,8.8668391,53.23849136
3,0.16,9.1063163,43.19479072
3,0.16,94.8211391,31.19367589
3,0.16,3.8783405,32.23693027
3,0.16,57.9213993,14.33175572
3,0.16,76.0583459,12.06104431
3,0.16,24.0154695,8.182796469
3,0.2,1.9139956,92.11945714
3,0.2,94.9801184,82.11725102
3,0.2,55.9663047,64.25179397
3,0.2,10.8839453,54.20923691
3,0.2,9.789926,43.17986691
3,0.2,4.085388,37.99204419
3,0.2,94.7630929,36.18760793
3,0.2,78.9021246,16.17213743
3,0.2,53.8868697,16.04128545
3,0.2,22.9313061,9.20392752
3,0.2,9.9595052,4.193675889
3,0.24,1.0199027,95.18666186
3,0.24,94.8485999,84.19491967
3,0.24,55.9936656,74.19266169
3,0.24,12.0045451,53.2051905
3,0.24,8.946446,43.26318808
3,0.24,94.1352501,42.23257175
3,0.24,2.9517925,39.17160969
3,0.24,82.8720745,21.18313949
3,0.24,91.0685714,17.21803912
3,0.24,49.9333147,16.21864875
3,0.24,55.992081,6.219547655
3,0.28,1.03323,98.1738429
3,0.28,93.9004131,91.15271203
3,0.28,61.9614286,84.11909606
3,0.28,13.918865,53.29054477
3,0.28,94.1615277,48.18232658
3,0.28,4.92316,44.11449326
3,0.28,87.8360968,24.33684529
3,0.28,45.9308229,16.33926976
3,0.28,15.9995683,11.24206299
3,0.28,33.9309997,11.40192113
3,0.28,54.9268559,6.156004656
3,0.32,1.8698545,104.1290538
3,0.32,92.9098203,95.1989739
3,0.32,60.9697467,81.33272572
3,0.32,14.9649497,54.13230768
3,0.32,94.1096069,54.13595777
3,0.32,6.0863204,51.2088274
3,0.32,89.866833,28.18386235
3,0.32,38.9603858,17.22834742
3,0.32,83.8405838,14.14373264
3,0.32,16.918233,13.19616966
3,0.32,30.9545364,12.11598165
3,0.32,2.8894189,9.073525701
3,0.36,1.9613537,106.2293153
3,0.36,91.0588862,101.2336275
3,0.36,63.9345933,82.07935846
3,0.36,94.1174586,57.22563328
3,0.36,5.929418,57.18626848
3,0.36,16.9886773,55.03441663
3,0.36,91.8637064,30.1995814
3,0.36,16.9124839,13.15288206
3,0.36,33.927322,11.98306496
3,0.36,4.9214993,9.198944593
3,0.4,2.0717166,113.1647072
3,0.4,89.8155766,105.1336008
3,0.4,58.9245714,84.04053303
3,0.4,94.1608377,62.21834933
3,0.4,3.9917041,60.19367589
3,0.4,21.9120157,56.10516166
3,0.4,93.8769904,34.22963877
3,0.4,91.14,28.2111686
3,0.4,83.9336688,12.22322134
3,0.4,28.9120344,12.22377165
3,0.4,3.9018764,9.198443469
3,0.44,3.0057143,119.1844451
3,0.44,88.1390981,108.3224638
3,0.44,54.9525,86.13229196
3,0.44,94.1649354,67.27156184
3,0.44,3.0049554,67.11778303
3,0.44,26.0159233,57.91864839
3,0.44,4.1253304,47.14857032
3,0.44,93.9115685,36.19149961
3,0.44,0.0127273,16.13653303
3,0.44,15.8959903,15.11724277
3,0.44,83.0012786,14.20937756
3,0.44,27.9349139,13.25807331
3,0.44,4.9137023,11.13211433
3,0.48,2.9383326,125.1915728
3,0.48,86.1244564,112.3031099
3,0.48,49.8907085,87.96847169
3,0.48,93.9664268,73.18731457
3,0.48,2.0721083,68.22489225
3,0.48,26.9327708,58.27734524
3,0.48,4.0696537,48.15011528
3,0.48,92.9768254,36.21700922
3,0.48,8.7710182,18.21853777
3,0.48,82.1003823,14.30194964
3,0.48,16.9677935,14.22337886
3,0.48,25.9277284,13.15339392
3,0.48,6.8789124,10.32004094
3,0.48,0.8494431,7.273579037
3,0.52,2.9799374,128.2030607
3,0.52,85.12823,115.3370721
3,0.52,45.9224605,88.11450018
3,0.52,93.9282459,78.18101766
3,0.52,1.9954354,72.14686314
3,0.52,32.0098169,60.00085538
3,0.52,3.2208461,51.14905114
3,0.52,92.9085364,43.1924489
3,0.52,93.955271,36.22446407
3,0.52,15.159168,17.23218371
3,0.52,81.9591112,13.26810337
3,0.52,6.9139496,12.17350782
3,0.52,25.9320514,12.16832735
3,0.52,1.8587627,7.303362499
3,0.52,19.0613493,4.271357763
3,0.56,2.1655383,136.1496715
3,0.56,83.0709163,120.2883729
3,0.56,40.8820822,90.02858155
3,0.56,93.0858193,82.24223232
3,0.56,2.8025564,78.15472852
3,0.56,1.9462271,71.19982974
3,0.56,35.9187973,62.17786561
3,0.56,1.9799779,58.17042008
3,0.56,92.8050246,50.16781382
3,0.56,94.8396294,35.30098721
3,0.56,81.9630373,17.14090884
3,0.56,15.870275,16.25120727
3,0.56,23.8290256,14.03208649
3,0.56,6.8032311,13.14166247
3,0.56,13.1360464,5.185065803
3,0.6,3.0601507,143.178164
3,0.6,80.0808259,127.2935584
3,0.6,40.8972405,91.05244582
3,0.6,93.1304699,87.23462701
3,0.6,2.0253928,83.17652691
3,0.6,1.9224463,75.20347981
3,0.6,40.9604436,66.09050939
3,0.6,2.0984685,63.15024055
3,0.6,93.7471891,57.15098507
3,0.6,94.8005734,37.07980892
3,0.6,18.0850254,21.16245953
3,0.6,82.1854383,22.27397702
3,0.6,78.8077113,15.76856243
3,0.6,6.8339335,14.21422383
3,0.6,0.2435057,12.97404399
3,0.6,26.8333092,13.1721569
3,0.6,3.9438138,4.091111786
3,0.64,2.9033501,150.1681168
3,0.64,78.0024585,131.2529782
3,0.64,93.091026,93.24110136
3,0.64,39.8857143,93.0439616
3,0.64,2.0897414,89.10770304
3,0.64,2.9856898,77.17286806
3,0.64,44.9568669,69.10852532
3,0.64,1.9024339,67.19896689
3,0.64,93.1150788,62.14179522
3,0.64,94.0423425,36.28489991
3,0.64,20.8393765,24.20790739
3,0.64,83.0059403,23.19706572
3,0.64,0.9427826,16.13243091
3,0.64,18.8771579,16.16874151
3,0.64,75.9061703,16.14373018
3,0.64,6.9774854,14.17323992
3,0.64,26.8877996,12.98751475
3,0.64,15.0494712,6.325167602
3,0.64,3.8811378,5.12532522
3,0.68,3.0505762,155.1538969
3,0.68,74.9505958,133.2315906
3,0.68,92.8611557,99.16732543
3,0.68,37.027827,95.26644584
3,0.68,1.7996178,91.21121975
3,0.68,4.9244858,81.06959727
3,0.68,50.9778786,71.0826881
3,0.68,1.9660193,71.23615955
3,0.68,93.1400951,65.16704473
